name,category,subcategory,website,url,description,contact_person,email,phone,location
ImmersiON-VRelia,VR Hardware,VR HMD,http://www.immersionvrelia.com/,http://www.vrmeister.com/immersion-vrelia/,"ImmersiON-VRelia is focused on the creation of wide field-of-view 3D Stereoscopic Head Mounted Displays and Heads Up Displays for Virtual Reality and Augmented Reality for multiple industries.
With the AlterSpace platform and SDK, ImmersiON-VRelia enables a vehicle for VR experiences and gaming, content distribution, and a fully immersive stereoscopic VR user interface.
Turn your Android or iOS smartphone into a Virtual Reality device.
The GO have the most advanced optics correction system.
Enjoy the best immersive experience with maximum sharpness without glasses.",,,,"Silicon Valley, United States"
Sony Playstation VR,VR Hardware,VR HMD,https://www.playstation.com/,http://www.vrmeister.com/playstation-vr/,"Play it, feel it
Breathtaking VR immersion
Put yourself at the centre of new worlds by slipping on a visor-style virtual reality headset, currently in development by Sony Computer Entertainment.
Get other players involved. PlayStation VR creates two sets of images: one for the headset and one for a TV, so everyone can join in.
Hear details above, below and around you with stunning clarity thanks to 3D audio technology.",NA,NA,NA,Japan
HTC,VR Hardware,VR HMD,http://www.htcvr.com/,http://www.vrmeister.com/htc-vive/,"Imagine standing on the bridge of a starship rocketing across the galaxy, or strolling through the streets of ancient Rome, or shrinking down to subatomic size and watching molecules collide.
Now Re-imagine.
HTC’s Vive headset, powered by SteamVR, pulls those virtual worlds off your computer screen and into your home. You’ll experience sights and sounds vivid and lifelike enough to transport you to another place, another time—whole new realities with limitless possibilities.
HTC & Valve
The Vive headset was developed in conjunction with Valve, creators of such ground-breaking games as Portal and Half-Life.
HTC manufactures some of the finest consumer electronics on the planet and Valve is an unrivaled architect of virtual worlds, so you know the collaboration is something special.
Vive is powered by Valve’s SteamVR so plenty of games that take advantage of its capabilities will soon be available on the Steam service.",NA,NA,NA,Taiwan
Avegant (Glyph),VR Hardware,VR HMD,http://avegant.com/,http://www.vrmeister.com/avegant-glyph/,"Avegant is currently in the process of refining their Glyph Alpha prototype into the consumer version conceptually rendered above.
Those who pre-order a Glyph will get a lightweight, ergonomic device tuned for consumer use and with both support and a warranty. It’ll be identical to the consumer device on store shelves — only delivered far before we start fulfilling those orders. Be the first in your community to start your Glyph story.",NA,NA,NA,United States
Star VR,VR Hardware,VR HMD,http://www.starvr.com/#top,http://www.vrmeister.com/starvr/,"Starbreeze has formed the Project StarVR, where InfinitEye’s hardware expertise and capabilities are combined with Starbreeze game and entertainment software development skills.
The project places Starbreeze in a unique position to develop VR experiences with an integrated vision.
By committing to be a fully integrated party supporting the Steam OpenVR framework within its proprietary game and entertainment industry engine Valhalla, Starbreeze aspires to become one of the first VR publishers parallel to being the go-to catalyst for publishing titles on the Steam platform.
“Starbreeze’s vision is to become a leader in the entertainment industry by delivering world class experiences.
The landscape of entertainment is transforming and we strongly believe VR will be a big part of the story of our industry going forward.
Our StarVR aims at bringing the next generation entertainment experiences to reality”, said Bo Andersson Klint, CEO of Starbreeze.
“By immersing ourselves into the VR field, we aim to learn fast, position Starbreeze for the future and allow people to enter into new worlds.”
 ",NA,NA,NA,United States
Fove,VR Hardware,VR HMD,http://www.getfove.com/,http://www.vrmeister.com/fove/,"The world’s first eye tracking virtual reality headset
Immerse yourself in worlds that react to your eyes and emotions, experience precision control at the speed of thought.
Aim With Your Eyes
Simply target, aim and shoot with true line-of-sight targeting.
Focus Your Vision
View realistic scenery that blurs and sharpens, reacting to where you are focusing.
Make Eye Contact
Look, laugh, and communicate with virtual characters just like in the real world.
Move Naturally
Reduce simulation sickness by reducing the need for unnatural head movements.",NA,NA,NA,United States
Oculus,VR Hardware,VR HMD,https://www.oculus.com/en-us/,http://www.vrmeister.com/oculus-rift/,"Step into the Rift
The Rift is unlike anything you’ve ever experienced. Whether you’re stepping into your favorite game, watching an immersive VR movie, jumping to a destination on the other side of the world, or just spending time with friends in VR, you’ll feel like you’re really there.
Seeing is believing
The Rift uses state of the art displays and optics designed specifically for VR. Its high refresh rate and low-persistence display work together with its custom optics system to provide incredible visual fidelity and an immersive, wide field of view.
The magic of presence
The Rift’s advanced display technology combined with its precise, low-latency constellation tracking system enables the sensation of presence – the feeling as though you’re actually there. The magic of presence changes everything. You’ve never experienced immersion like this.
Advanced and refined design
From the moment you pick up the Rift, you’ll feel and see the attention to detail that went into its design and construction. Customizable, comfortable, adaptable, and beautiful, the Rift is technology and design as remarkable as the experiences it enables.
 ",NA,NA,NA,United States
Ocularize,VR Hardware,Mobile VR Goggles,http://www.ocularize.com/,http://www.vrmeister.com/ocularize/,"Ocularize is a community of VR enthusiasts promoting safety and comfort when using VR headsets.
Apart from giving the latest news regarding Virtual Reality and serving affordable VR headsets and accessories, Ocularize shares unique VR content especially VR concepts when funding the virtual community industry is starting to rise.
These ideas and concepts will fuel VR developers and VR content creators to develop entertaining VR games and videos as well as educational VR apps for the future of VR technology.",Ozwald,ocularize@gmail.com,,New York
AustechVR,VR Hardware,Mobile VR Goggles,http://www.austechvr.com.au/,http://www.vrmeister.com/austechvr/,  AustechVR provide Google Cardboard Headsets to both Retail and Wholesale customers in Australia.,Ken Lee,sales@austechvr.com.au,432899063,Australia
YourVirtualRealityshop,VR Hardware,Mobile VR Goggles,http://www.yourvirtualrealityshop.nl/,http://www.vrmeister.com/yourvirtualrealityshop/,Yourvirtualrealityshop is een webwinkel gericht op de verkoop van virtual reality brillen.,"Jelmer
[/li_item
]",,,"Kudelstaart, The Netherlands"
Ad Cardboard,VR Hardware,Mobile VR Goggles,http://adcardboard.com/,http://www.vrmeister.com/ad-cardboard/,"Ad Cardboard is a China based manufacturer of custom Google cardboard and VR headsets for smartphone, starts in 2016. We service business customers of advertising & marketing, VR content & app makers.
Our advantage is custom branded VR cardboard. We provide professional printing services, with premium quality and competitive price. Provide your artwork, we will deliver sample in 3 days, no charge. We adopt better corrugate and lens than competitors, in respect of the brands printed on our products.
We also provide affordable plastic VR headsets for smartphones, to share immersive virtual reality experience with everyone.",Gary Hu,gary@adcardboard.com,,China
Opto,VR Hardware,Mobile VR Goggles,http://optovr.com/,http://www.vrmeister.com/opto/,"Opto – Virtual Reality for the living room.
Opto is a new kind of Virtual Reality Headset that lets you experience movies, videos, games and other content wherever you are.
We are making high-quality VR accessible for anyone who owns a smartphone. With Opto, VR is finally moving from the gaming den to the living room.",Richard Stephens,hello@optovr.com,0208 144 9036,United Kingdom
Maxbox VR,VR Hardware,Mobile VR Goggles,http://www.maxboxvr.com/,http://www.vrmeister.com/maxbox-vr/,"Maxbox VR are a branded Google cardboard design and production agency.
Working with clients such as Lionsgate, NBCUniversal and Sony Music, Maxbox VR create custom print Google cardboard to fit your ideas and projects and will also ship globally.",Charlie Putman,Sales@maxboxvr.com,442081330824,United Kingdom
VRmotion Netherlands,VR Hardware,Mobile VR Goggles,http://www.vrmotion.nl/,http://www.vrmeister.com/vrmotion-netherlands/,"Virtual Reality is going to conquer the world
VRmotion is a Dutch company founded in November 2015.
CEO and founder of VRmotion is Randy van der Meer. We have a variety of VR headsets, controllers, GoPro 360 mounts and 360 cameras for businesses and people.
“Virtual reality is the first step in a grand adventure into the landscape of the imagination.”    -Frank Biocca-",Randy van der Meer,info@vrmotion.nl,+31 6 41 20 93 57,Netherlands
MOVR,VR Hardware,Mobile VR Goggles,http://www.movrbox.com/,http://www.vrmeister.com/movr/,"MOVR is a Virtual Reality company based in Argentina.
We look forward to democratize the technology by developing low cost products and creating excepcional experiences.",Juan Pasini,info@movrbox.com,5491144074853,Argentina
CMOAR,VR Hardware,Mobile VR Goggles,http://cmoar.com/,http://www.vrmeister.com/1839-2/,"Damian Boczek – CEO & Founder
“It’s really hard to believe that I started working on Cmoar over a year ago, being completely on my own. Now I have a group of trusted friends who support me in every aspect. What’s more, we are assisted by the best designers, engineers and constructors in Poland to improve the goggles as much as we can and bring them to a whole new level among mobile headsets.”
We believe we may look at reality in a completely unconventional way.
We believe Virtual and Augmented Reality can change our perception of the surrounding world and open up whole new possibilities in front of us, in terms of both entertainment and education.
Our major goal was to create the headset not only functional but also of a perfect quality and modern design.
The headset that is accessible to everyone.
We work hard every day to make our solutions revolutionary. We don’t want to rehash old ideas but create new ones! Cmoar is just the beginning.",,,,Poland
Fibrum,VR Hardware,Mobile VR Goggles,http://fibrum.com/,http://www.vrmeister.com/fibrum/,"Fibrum’s history started with the idea of “Virtual reality for everyone.”
It wasdeveloping and shaping fast, and in 2013, the company’s founder Ilya Flaks organized a team of associates and began to work on a new mobile virtual reality headset —Fibrum.
Within a year the company managed to develop the mobile headset, the lenses design, the technology of a virtual reality and applications all from a scratch. Since the beginning the prototype has been altered beyond recognition.
The innovativeness of solutions, simplicity and user-friendly policy are the principles that Fibrum team deems the most important in it’s work.
Fibrum cautiously tests every part of the mobile headset and aiming to create the sensation of a maximum immersion in another world.
The team elaborates game scenarios, graphics and dynamics of applications to make the player forget about the real world while being
in the virtual reality.
Fibrum mobile virtual reality headset was created to change the standard representation of the game industry and to bring the elements of the fantasy that
previously could only be seen in the movies to a daily life.
The opinion of every user is very important to Fibrum.
All their products, including mobile applications, are being improved and updated on a regular basis taking into account the feedback from the users.
The product is 100 percent Russian — the company’s headquarters is in Moscow.",,info@fibrum.com,8 800 250 8 500,Russia
Bobo VR,VR Hardware,Mobile VR Goggles,http://www.bobovr.com/,http://www.vrmeister.com/bobo-vr/,"Full Immersive 360°Full Screen
Large Screen Better Feeling
Change your smart phone to an elegant and customized cinema
Sink into Games
Enjoy 3D Games, can’t be more exciting
0-600 Myopia Adjust Instantly
More accurately, more comfortable
Z3 PD Adjustment
We apply Counter Gear Technology to avoid the condition of fringe.
Z3 Focus Adjustment
We can adjust the clarity by adjusting the roller, which can be operated without removing the glasses .BOBOVRZ3 Support for 0-600 myopia user. At the same time, It also can adjust right and left side separately (the deviation will be within 100°)",,sandra@bobovr.com,+86 0755-32827700,China
Adaptive Designs Inc: VR Kix,VR Hardware,Mobile VR Goggles,http://www.vrkix.com/,http://www.vrmeister.com/adaptive-designs-inc-vr-kix/,"VR KiX is a high quality full featured HMD to use with your smartphone.
It has IPD as well as focal adjustments, a soft foam, pleather covered face pad for comfort and easy cleaning, a spring loaded device holder that grips your smartphone to ensure no slipping during head movements.
VRKiX has side ports for headset cords, a removable augmented reality panel, cooling air vents and a comfortable 3 point head strap.
Our headset has a 1 year warranty, comes with extra phone tray bumpers, a drawstring storage bag and our great customer service.",Lisa Elichaa,lisae@adaptivedesignsinc.com,2073336705,"Auburn, United States"
Wearality,VR Hardware,Mobile VR Goggles,http://www.wearality.com/,http://www.vrmeister.com/wearality/,"Our Mission
The Wearality team has spent the last five years developing patented world-class technologies for virtual reality (VR) at Lockheed Martin for the defense and aerospace industry. We are translating this cutting edge, patent protected, technology into consumer and commercial head wearable displays that are the lightest, most portable, most cost effective devices available, and offer the most immersive experience on the market today.
Our Vision
The next level of virtual reality (VR) wearable technology is here. We took a different approach; the lenses and the optics are the key to unlocking the ability to really experience what immersive 3D worlds are meant to be. Wearality wants to provide the tools to unleash this revolution of creative talent and ability to launch a new medium.",,support@wearality.com,,United States
VIAR,VR Hardware,Mobile VR Goggles,http://www.viarbox.com/,http://www.vrmeister.com/viar/,"At VIAR we are offering customizable cardboard VR goggles and VR apps in any quantity.
We offer great customer service by providing full customization at affordable prices on a scale from one to thousands if need be. We are using materials of the highest quality possible in responsible production.",Jerry Mirt,jerry@viar.si,38631209811,Slovenia
Quantum Bakery LLC / Figment VR,VR Hardware,Mobile VR Goggles,http://www.figmentvr.com/#intro,http://www.vrmeister.com/quantum-bakery-figment-vr/,"Quantum Bakery is a company that creates innovative accessories for smart phones.
The company is built on the belief that advanced technology should be ambient and inspired.
Currently on Kickstarter :
Figment VR
Figment VR is the world’s first virtual reality (VR) and augmented reality (AR) phone case. Its slim and sleek design makes it pocketable and accessible.
Your iPhone combined with Figment is powerful enough to give you an amazing VR experience. Watch immersive VR movies, visit incredible destinations, and play VR enabled games.
  Completely Unique. Totally Immersive.
Virtual Reality is an interactive, immersive experience that makes you feel like you’re actually there.
Figment VR gives you a sense of depth as you look in every direction. Near things look near, far things look far. Revel in delight as you experience content in an entirely new way.
Find out more about some of the great VR content you’ll be able to enjoy here.
 ",,figment@quantumbakery.com,,United States
Goggletech,VR Hardware,Mobile VR Goggles,http://goggletech.net/,http://www.vrmeister.com/goggletech/,"Go4D Technolgy Corp. is the world distributor of Goggle Tech Inc. Product.
Our main office is in San Jose, California, USA.
Our flagship product, the C1-Glass and Go4D VR Headset enables 3D stereoscopic content viewing for mobile environments, and has been in development over the past 3 years.
The company offers other products and apps to enhance virtual reality media experiences. Go4D Technology Corp. has multiple Korea and PCT granted patents and international patent pending on hardware and software of 3D Virtual Reality technology, as shown below, and many pending patents related to stereoscopic HMD for Smartphones.
Get the most of your 3D VR  with your Android or iOS devices and view your even 2D favorite movies in 3D",,go4dtech@gmail.com,650-200-3983,United States
VXMask,VR Hardware,Mobile VR Goggles,http://www.vxmask.com/,http://www.vrmeister.com/vx-mask/,"ENJOY VIRTUAL REALITY AND AUGMENTED REALITY!
With a device designed for maximum mobile compatibility.
INTERACT IN A REAL 3D ENVIROMENT!
The new 3D glasses for smartphones where you can enjoy the most amazing virtual reality experiences.
IT’S EASY AND FUN TO USE
Configure in seconds, enjoy for hours.
The new 3D glasses for smartphones where you can enjoy the most amazing virtual reality experiences.
With it, you will be able to watch adult entertainment and movies, view photos, play games, and even flirt in 3D, like never before.
Wireless, these glasses will allow you to move comfortably and synchronize them with an extra remote control that allows for further control.
The Vxmask viewer will not only allow you to to see in 3D, it will also increases AR.",,info@vxmask.com,,Spain
Durovis,VR Hardware,Mobile VR Goggles,http://www.durovis.com/,http://www.vrmeister.com/durovis/,"Meet the Durovis Dive family and turn your mobile device into a virtual reality headset.
Experience games and 360° videos in VR on your own smartphone or tablet.",,support@durovis.com,,Germany
Samsung Gear VR,VR Hardware,Mobile VR Goggles,http://www.samsung.com/global/galaxy/wearables/gear-vr,http://www.vrmeister.com/samsung-gear-vr/,"Display
Put on the Gear VR, and you’re there in the moment. A Super AMOLED display, wide field of view, precise head-tracking and low latency brings reality to the virtual.
Compatibility
Gear VR works seamlessly with Galaxy smartphones*. All you need to do is slip in your phone and you’re free to take on the world and beyond.
* Compatible with Galaxy Note5, S6 edge+, S6, and S6 edge.
Design
To reach new levels, a comfortable headset is a must. That’s why with a wider interface, Gear VR is now 19% lighter compared to the previous model. And with its larger touchpad, you get easy and accurate control.
Content
There are no bad seats at this theater. The big screen is all yours. Whenever you’re ready, pick what you want from a vast selection of content and settle down with a snack of your choice.
ADVENTURES
Anything is possible when you’re inside Gear VR. Whether it’s battling the undead or riding a flying carpet, you won’t run out of adventures with an ever-expanding vault of games.",,,,Korea
Viewmaster,VR Hardware,Mobile VR Goggles,http://www.view-master.com/,http://www.vrmeister.com/viewmaster/,"OPEN YOUR EYES  TO VIRTUAL REALITY!
View-Master® believes you are not limited by where you stand, but where your mind can take you.
Through an easy-to-use and affordable platform, the View-Master® VR viewer works with your compatible smartphone to blend Augmented Reality and Virtual Reality, creating a magical experience that will inspire a lifetime of curiosity and deep exploration.
Explore and interact with each virtual world to discover all the surprises that await!
 ",,,,United States
Noon VR,VR Hardware,Mobile VR Goggles,http://noonvr.com/en/view/main,http://www.vrmeister.com/noon-vr/,"Virtual Reality is here!
Transcend the world around you into a truly immersive and interactive virtual reality experience with NOON VR.
NOON VR headset can turn any smartphone with a screen size of 4.7 inches or larger into your personal virtual reality device.
All you need is your smartphone and the NOON VR app which is available for free through your phone’s app store.",,,,Korea
Seek Virtual Reality Cardboard,VR Hardware,Mobile VR Goggles,http://seekvirtual.in/,http://www.vrmeister.com/seek-virtual-reality-cardboard/,"Seek Virtual Reality Cardboard is India’s best quality variant of the Google Cardboard v2.0.
The kit comes with a plastic-coated cardboard and a free headband.
Our social media pages provide regular updates on the latest VR content.",Rahul Verma,,,India
Archos,VR Hardware,Mobile VR Goggles,http://www.archos.com/it/products/objects/cself/avr/index.html,http://www.vrmeister.com/archos/,"Experience the world of Virtual Reality with your Smartphone
Combining with your existing Smartphone, ARCHOS VR glasses form a technology that can transport you to a deep 360° world where your can fly, visit imaginary worlds and explore the ocean floor from the comfort of your sofa.
Compatible with most phones
Made to work with the majority of smartphones from any brand; just slide your phone into the slot on the front of the glasses, adjust the two supports and start any of the dozens of VR applications already available in the different applications stores (Android & iOS).
Access Virtual Reality apps
Play Virtual Reality games! Your games are no longer restricted to the small screen in front of you but exist all around you in 360° and in full stereoscopic 3D. Immersive yourself with VR street-view to get a real feeling of your destination as if you were there. The ARCHOS video player lets you watch 2D movies in extra wide angles as if on a Cinema screen as well as full stereoscopic 3D movies.
How it works
By taking the distorted split image on your smartphone ARCHOS VR Glasses transform it into stereoscopic 3D for your eyes. Your head is tracked through the gyroscope and accelerometer to move the virtual world around you as your move your head.",,,,France
Freefly VR,VR Hardware,Mobile VR Goggles,http://www.freeflyvr.com/,http://www.vrmeister.com/freefly-vr/,"FREE TO ZONE OUT
The Freefly is light and portable enough to take anywhere, ideal for times when you want to escape the bad times.
FREE TO SELF INDULGE
Indulge your senses with tranquil guided meditation and ASMR designed to put your brain into a blissful state.
FREE TO EXPLORE
Freefly is your phone’s new partner. Wherever you and your phone go, within seconds you can change your environment, whenever the mood takes you.",,,,United Kingdom
Cardboard Owl,VR Hardware,Mobile VR Goggles,http://www.cardboardowl.nl/,http://www.vrmeister.com/cardboard-owl/,"Cardboard Owl is a new Virtual Reality start up located in Utrecht.
Cardboard Owl has developed a new cardboard virtual reality viewer inspired on the Google Cardboard 2.
The Cardboard Owl is characterised by it’s easy of use, high quality cardboard, and because the production is done in the Netherlands and the possibility to deliver custom made designs within 10 working days!
Take a look at our website to see the full description",Marco Janmaat (Founder/Director),marco@vrowl.nl,+ 31 (0) 6 309 88 653,"Utrecht, Netherlands"
Altergaze,VR Hardware,Mobile VR Goggles,http://www.altergaze.com/,http://www.vrmeister.com/altergaze/,"Smartphone based Virtual Reality Visor designed for casual mobile gamers and practical VR applications.
3D PRINTED
What makes our product unique is the use of 3D printing tech in order to offer a custom-made VR headset that is modular and can be upgraded with your smartphone.
SIMPLE TO USE
Using the device everyone owns: your smartphone. You just slide your smartphone in the Altergaze headset and you are good to go. No wires, no headband, no desktop required. Making it easy to dip in and out of VR and share the device with others.
HIGH QUALITY OPTICS
Using a multi-lens optical system of 50mm in diameter we are able to offer a high image quality VR experience where we utilise the full resolution of your smartphone without seeing the edges of your display.",,contact@agvr.co,,"London, United Kingdom"
